,Comment
0,here in nz 50 of retailers on t even have contactless cre it car machines like paywave which support apple pay they on t like the high fees that come with these
1,i will forever acknowle ge this channel with the help of your lessons an i eas explanations now its quite helpful while youll just sit at your comfort an monitor your account growth
2,whenever i go to a place that oesn t take apple pay oesn t happen too often it s such a rag between contactless covi habits an my getting the apple car i ve gotten so use to apple pay that i get seriously annoye when a store oesn t take it it feels like a shock it s crazy how quickly it took over my shopping routine i ve officially been brainwashe by apple because now it feels so inconvenient to even carry a physical car in my pocket
3,apple pay is so convenient secure an easy to use i use it while at the korean an japanese airports no nee for physical cre it car s
4,we only got apple pay in south africa in 20202021 an it s wi ely accepte
5,in the unite states we have an abun ance of retailers that accept apple pay but its still goo to carry the physical car with you being there are still a large quantity of places that o not accept apple pay
6,wow you really went to town on the psu test rack thats a serious bit of kit very flexible goo choices woul nt surprise me if choma start offering this bespoke rack to the psu makers they all watch your vi eos so theyll want to make sure it passes on this exact same rack you can really push the in ustry here well one open source the test interface har ware an software
7,the lab is the most exciting thing in it ive seen for a while this is reallly going to shake up how the qualiity of even basic components are manufacture
8,linus im an engineer an love the lmg content across all the channels very much looking forwar to more lab content an hope your engineering team will get more on camera time an hosting roles
9,there use to be a time where linus was the smartest guy in the room this vi eo clearly shows that the team he has built are experts in their respective fiel s an make linus look like a chil ku os to linus an lmg youve grown beyon what i imagine all the best
10,holy crap i was looking at chroma systems back when i was esigning power supplies looks like you guys went all out re the multimeter most oscilloscopes are terrible for making accurate voltage measurements 810 bit a cs they are just for looking at the waveforms
11,i love the irection this channel is going most tech channels even the best truste ones are going to review pro ucts base on their own experience or at most some things they can measure with their pc but youre really going to mathematically emonstrate if a pro uct is a quality one an why it is love it
12,i am more excite for the ltt lab than i have been for a lot of content for a while now as everyone seems to be saying its exciting to see how enthusiastic this new crew is to get things running
13,i a ore the working relationship linus has with his team 99 of employees walk on eggshells aroun their boss an i wish it coul be more like this
