Comment,Sentiment
here in nz 50 of retailers don’t even have contactless credit card machines like paywave which support apple pay they don’t like the high fees that come with these,0
i will forever acknowledge this channel with the help of your lessons and ideas explanations now its quite helpful while youll just sit at your comfort and monitor your account growth,1
whenever i go to a place that doesn’t take apple pay doesn’t happen too often it’s such a drag between ‘contactless covid’ habits and my getting the apple card i’ve gotten so used to apple pay that i get seriously annoyed when a store doesn’t take it it feels like a shock it’s crazy how quickly it took over my shopping routine i’ve officially been brainwashed by apple because now it feels so inconvenient to even carry a physical card in my pocket,0
apple pay is so convenient secure and easy to use i used it while at the korean and japanese airports no need for physical credit cards,1
we only got apple pay in south africa in 20202021 and it’s widely accepted,1
in the united states we have an abundance of retailers that accept apple pay but its still good to carry the physical card with you being there are still a large quantity of places that do not accept apple pay,1
wow you really went to town on the psu test rack thats a serious bit of kit very flexible good choices wouldnt surprise me if choma start offering this bespoke rack to the psu makers they all watch your videos so theyll want to make sure it passes on this exact same rack you can really push the industry here well done open source the test interface hardware and software,1
the lab is the most exciting thing in it ive seen for a while this is reallly going to shake up how the qualiity of even basic components are manufactured,1
linus im an engineer and love the lmg content across all the channels very much looking forward to more lab content and hope your engineering team will get more on camera time and hosting roles,1
there used to be a time where linus was the smartest guy in the room this video clearly shows that the team he has built are experts in their respective fields and make linus look like a child kudos to linus and lmg youve grown beyond what i imagined all the best,1
holy crap i was looking at chroma systems back when i was designing power supplies looks like you guys went all out re the multimeter most oscilloscopes are terrible for making accurate voltage measurements 810 bit adcs they are just for looking at the waveforms,0
i love the direction this channel is going most tech channels even the best trusted ones are going to review products based on their own experience or at most some things they can measure with their pc but youre really going to mathematically demonstrate if a product is a quality one and why it is love it,1
i am more excited for the ltt lab than i have been for a lot of content for a while now as everyone seems to be saying its exciting to see how enthusiastic this new crew is to get things running,1
i adore the working relationship linus has with his team 99 of employees walk on eggshells around their boss and i wish it could be more like this,1
lmgs growth is honestly something to truly aspire for this is the content we want to watch more technical in depth engineering oriented and sciencebased content will make us consumers much much more educated on these topics thus when picking a product not only will we pick the best choice but well know exactly why we picked it which helps greatly with buyers remorse,1
i love all the people ltt has added for labs clearly theyre knowledgeable and passionate about tech labs is gonna be killer love it,1
linus just turn the key lights 180 and bounce them off the walls you’ll get a much softer glow and shadow and way more even lighting it’s such a simple fix i’m not sure where along the lines people got the idea to beam the lights directly at your face ,1
dan continues to be my new favorite he has such an air of confidence about him and a comforting presence like dan shows up and you just know things are going to be fine,1
dan managing to set up his soldering station on the one box they needed was incredibly amusing to me,1
linus gets on his employees cases for all the stuff stolen from the office also linus proudly talks about all the stuff stolen from work hes using in his upgraded setup linus why are you using this monitor as a table also linus uses the monitor as a chair this video was hilarious,1
dan the man saving the day riley needs to give him his own theme like brian the electrician,1
dan continues to be a favourite for me hes like the incredibly patient but longsuffering dad who just gets on with things,1
dan is a treasure your channel has long lacked a mr fixit type and while i am sad its not me dan appears quite capable and funny,1
blows my mind how quickly dan became the rock upon which all things linus standslove it,1
hey linus a good trick for streaming lights bounce them off the wall much easier on the eyes and a nice softer look also for indoors id recommend a hypercardioid mic looks like a short shotgun like the audiotechnica at4053b,1
unstoppable experiments with liquid nitrogen ,1
one of the best things about dude is that he never takes credit for himself wheb he achieves something he always respect us the audience and his team and he is always polite is all of his videos we congratulate ourselves on this achievement more to come and everything to,1
liquid nitrogen never ends m4tech poli,1
29minutes 48k views 93k likes  that is the power of m4tech,1
epozhum safety is first priority goggles on,1
congratulations m4tech for achieving 8 million subscribers,1
